time,Artifact,OS,Architecture,MajorVersion,MinorVersion,BuildNr,count
1406851200000,Agent,undefined,undefined,1.5,59,1,0
1406937600000,Agent,undefined,undefined,1.5,59,1,0
1407024000000,Agent,undefined,undefined,1.5,59,1,0
1407110400000,Agent,undefined,undefined,1.5,59,1,1
1407196800000,Agent,undefined,undefined,1.5,59,1,1
1407283200000,Agent,undefined,undefined,1.5,59,1,0
1407369600000,Agent,undefined,undefined,1.5,59,1,0
1407456000000,Agent,undefined,undefined,1.5,59,1,1
1407542400000,Agent,undefined,undefined,1.5,59,1,0
1407628800000,Agent,undefined,undefined,1.5,59,1,0
1407715200000,Agent,undefined,undefined,1.5,59,1,0
1407801600000,Agent,undefined,undefined,1.5,59,1,0
1407888000000,Agent,undefined,undefined,1.5,59,1,1
1407974400000,Agent,undefined,undefined,1.5,59,1,1
1408060800000,Agent,undefined,undefined,1.5,59,1,0
1408147200000,Agent,undefined,undefined,1.5,59,1,0
1408233600000,Agent,undefined,undefined,1.5,59,1,1
1408320000000,Agent,undefined,undefined,1.5,59,1,0
1408406400000,Agent,undefined,undefined,1.5,59,1,0
1408492800000,Agent,undefined,undefined,1.5,59,1,0
1408579200000,Agent,undefined,undefined,1.5,59,1,0
1408665600000,Agent,undefined,undefined,1.5,59,1,0
1408752000000,Agent,undefined,undefined,1.5,59,1,0
1408838400000,Agent,undefined,undefined,1.5,59,1,0
1408924800000,Agent,undefined,undefined,1.5,59,1,0
1409011200000,Agent,undefined,undefined,1.5,59,1,0
1409097600000,Agent,undefined,undefined,1.5,59,1,0
1409184000000,Agent,undefined,undefined,1.5,59,1,1
1409270400000,Agent,undefined,undefined,1.5,59,1,1
1409356800000,Agent,undefined,undefined,1.5,59,1,1
1409443200000,Agent,undefined,undefined,1.5,59,1,0
1406851200000,CMR,Linux,64 bit,1.5,59,1,0
1406937600000,CMR,Linux,64 bit,1.5,59,1,1
1407024000000,CMR,Linux,64 bit,1.5,59,1,0
1407110400000,CMR,Linux,64 bit,1.5,59,1,0
1407196800000,CMR,Linux,64 bit,1.5,59,1,0
1407283200000,CMR,Linux,64 bit,1.5,59,1,0
1407369600000,CMR,Linux,64 bit,1.5,59,1,0
1407456000000,CMR,Linux,64 bit,1.5,59,1,0
1407542400000,CMR,Linux,64 bit,1.5,59,1,0
1407628800000,CMR,Linux,64 bit,1.5,59,1,0
1407715200000,CMR,Linux,64 bit,1.5,59,1,0
1407801600000,CMR,Linux,64 bit,1.5,59,1,1
1407888000000,CMR,Linux,64 bit,1.5,59,1,1
1407974400000,CMR,Linux,64 bit,1.5,59,1,0
1408060800000,CMR,Linux,64 bit,1.5,59,1,0
1408147200000,CMR,Linux,64 bit,1.5,59,1,0
1408233600000,CMR,Linux,64 bit,1.5,59,1,0
1408320000000,CMR,Linux,64 bit,1.5,59,1,1
1408406400000,CMR,Linux,64 bit,1.5,59,1,0
1408492800000,CMR,Linux,64 bit,1.5,59,1,0
1408579200000,CMR,Linux,64 bit,1.5,59,1,1
1408665600000,CMR,Linux,64 bit,1.5,59,1,1
1408752000000,CMR,Linux,64 bit,1.5,59,1,0
1408838400000,CMR,Linux,64 bit,1.5,59,1,0
1408924800000,CMR,Linux,64 bit,1.5,59,1,1
1409011200000,CMR,Linux,64 bit,1.5,59,1,0
1409097600000,CMR,Linux,64 bit,1.5,59,1,0
1409184000000,CMR,Linux,64 bit,1.5,59,1,1
1409270400000,CMR,Linux,64 bit,1.5,59,1,0
1409356800000,CMR,Linux,64 bit,1.5,59,1,0
1409443200000,CMR,Linux,64 bit,1.5,59,1,0
1406851200000,CMR,Linux,32 bit,1.5,59,1,0
1406937600000,CMR,Linux,32 bit,1.5,59,1,0
1407024000000,CMR,Linux,32 bit,1.5,59,1,0
1407110400000,CMR,Linux,32 bit,1.5,59,1,0
1407196800000,CMR,Linux,32 bit,1.5,59,1,0
1407283200000,CMR,Linux,32 bit,1.5,59,1,0
1407369600000,CMR,Linux,32 bit,1.5,59,1,0
1407456000000,CMR,Linux,32 bit,1.5,59,1,0
1407542400000,CMR,Linux,32 bit,1.5,59,1,0
1407628800000,CMR,Linux,32 bit,1.5,59,1,0
1407715200000,CMR,Linux,32 bit,1.5,59,1,0
1407801600000,CMR,Linux,32 bit,1.5,59,1,0
1407888000000,CMR,Linux,32 bit,1.5,59,1,0
1407974400000,CMR,Linux,32 bit,1.5,59,1,0
1408060800000,CMR,Linux,32 bit,1.5,59,1,0
1408147200000,CMR,Linux,32 bit,1.5,59,1,0
1408233600000,CMR,Linux,32 bit,1.5,59,1,0
1408320000000,CMR,Linux,32 bit,1.5,59,1,0
1408406400000,CMR,Linux,32 bit,1.5,59,1,0
1408492800000,CMR,Linux,32 bit,1.5,59,1,1
1408579200000,CMR,Linux,32 bit,1.5,59,1,0
1408665600000,CMR,Linux,32 bit,1.5,59,1,0
1408752000000,CMR,Linux,32 bit,1.5,59,1,0
1408838400000,CMR,Linux,32 bit,1.5,59,1,0
1408924800000,CMR,Linux,32 bit,1.5,59,1,0
